=== Differentiable Search Engine Training ===
Downloading data...
Extracting data...
Building index...
Building index (this may take a few minutes)...
Index built successfully at indexes/apnews
Training on 50 queries for 30 epochs.
-----------------------------------------------------------------
Epoch  | Loss       | nDCG@10    | Weights [BM25, Noise]         
-----------------------------------------------------------------
1      | -4.3206    | 0.4674     | [0.6000, 0.4000]
2      | -4.3651    | 0.4900     | [0.6984, 0.3006]
3      | -4.6406    | 0.4981     | [0.7912, 0.2025]
4      | -4.6647    | 0.5081     | [0.8748, 0.1072]
5      | -4.7803    | 0.5122     | [0.9463, 0.0472]
6      | -4.7383    | 0.5085     | [1.0111, -0.0200]
7      | -4.7594    | 0.5156     | [1.0703, -0.0782]
8      | -4.7310    | 0.5110     | [1.1254, -0.1148]
9      | -4.8279    | 0.5213     | [1.1765, -0.1569]
10     | -4.7583    | 0.5130     | [1.2245, -0.1875]
11     | -4.7041    | 0.5081     | [1.2715, -0.1997]
12     | -4.7851    | 0.5124     | [1.3192, -0.1992]
13     | -4.6893    | 0.5014     | [1.3652, -0.1885]
14     | -4.6899    | 0.5076     | [1.4113, -0.1656]
15     | -4.7390    | 0.5153     | [1.4546, -0.1390]
16     | -4.7574    | 0.5101     | [1.4957, -0.1078]
17     | -4.8059    | 0.5190     | [1.5322, -0.0943]
18     | -4.7752    | 0.5142     | [1.5670, -0.0774]
19     | -4.7770    | 0.5170     | [1.6002, -0.0603]
20     | -4.7903    | 0.5141     | [1.6311, -0.0482]
21     | -4.7847    | 0.5148     | [1.6599, -0.0418]
22     | -4.7882    | 0.5134     | [1.6866, -0.0459]
23     | -4.7749    | 0.5138     | [1.7121, -0.0469]
24     | -4.7641    | 0.5132     | [1.7361, -0.0402]
25     | -4.7931    | 0.5155     | [1.7585, -0.0457]
26     | -4.7722    | 0.5157     | [1.7799, -0.0484]
27     | -4.7913    | 0.5149     | [1.7999, -0.0588]
28     | -4.7933    | 0.5116     | [1.8181, -0.0790]
29     | -4.7675    | 0.5165     | [1.8362, -0.0901]
30     | -4.7852    | 0.5141     | [1.8533, -0.0988]
-----------------------------------------------------------------
Final Weights: BM25=1.8533, Noise=-0.0988
Convergence Check: Passed (BM25 > Noise)
